state_id,district_id,const_id,party_id,candidate_name,gender,age,qualification,election_year,seat_id,candidate_name_norm,candidate_key,pr_share_seat_79,pr_rank_seat_79,pr_share_district_74,pr_rank_district_74,missing_pr_share_seat_79,missing_pr_rank_seat_79,missing_pr_share_district_74,missing_pr_rank_district_74,Literacy Rate 2078,edu_below_slc,edu_slc_to_inter,edu_grad_or_higher,cand_vote_share_prev_79,cand_rank_prev_79,cand_won_prev_79,missing_cand_vote_share_prev_79,missing_cand_rank_prev_79,missing_cand_won_prev_79,party_vote_share_prev_79,party_rank_prev_79,party_won_prev_79,party_contested_prev_79,missing_party_vote_share_prev_79,missing_party_rank_prev_79,missing_party_won_prev_79,enp_prev_79,num_candidates_prev_79,margin_prev_79,top1_share_prev_79,top2_share_prev_79,missing_enp_prev_79,missing_num_candidates_prev_79,missing_margin_prev_79,missing_top1_share_prev_79,missing_top2_share_prev_79,is_independent,is_alternative_party,is_youth_favoured_party,has_national_leader_presence,is_old_established_party,was_in_ousted_government
1,3,2,P001,सुहाङ नेम्बाङ,पुरुष,36,unknown,2082,3_2,स ह ङ न म ब ङ,स ह ङ न म ब ङ_3_2,0.39712940121103385,1.0,0.48850665821179456,1.0,0,0,0,0,83.37,69.4,20.759999999999998,4.46,0.453577095,1.0,1.0,0,0,0,0.453577095,1.0,1.0,1,0,0,0,2.43058503,14,0.001722445,0.453577095,0.45185465,0,0,0,0,0,0,0,0,1,1,1
1,3,2,P002,भेषराज आचार्य,पुरुष,61,unknown,2082,3_2,भ षर ज आच र य,भ षर ज आच र य_3_2,0.3339014726769829,2.0,0.3360177552314521,2.0,0,0,0,0,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.45185465,2.0,0.0,1,0,0,0,2.43058503,14,0.001722445,0.453577095,0.45185465,0,0,0,0,0,0,0,0,1,1,1
1,3,2,P003,ओम बहादुर गुरुङ्ग,पुरुष,47,unknown,2082,3_2,ओम बह द र ग र ङ ग,ओम बह द र ग र ङ ग_3_2,0.0858039919264409,3.0,0.057276474318325936,3.0,0,0,0,0,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.43058503,14,0.001722445,0.453577095,0.45185465,0,0,0,0,0,0,0,0,1,1,0
1,3,2,P004,गोकुल बहादुर राई,पुरुष,32,unknown,2082,3_2,ग क ल बह द र र ई,ग क ल बह द र र ई_3_2,0.07006055169320476,4.0,0.0,0.0,0,0,1,1,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.020850646,3.0,0.0,1,0,0,0,2.43058503,14,0.001722445,0.453577095,0.45185465,0,0,0,0,0,0,1,1,1,0,0
1,3,2,P005,गणेश प्रसाद दुलाल,पुरुष,64,unknown,2082,3_2,गण श प रस द द ल ल,गण श प रस द द ल ल_3_2,0.01780668311280556,8.0,0.02036303107165504,5.0,0,0,0,0,83.37,69.4,20.759999999999998,4.46,0.007705673,8.0,0.0,0,0,0,0.007705673,8.0,0.0,1,0,0,0,2.43058503,14,0.001722445,0.453577095,0.45185465,0,0,0,0,0,0,0,0,1,1,0
1,3,2,P009,बल बहादुर आङदेम्बे,पुरुष,64,unknown,2082,3_2,बल बह द र आङद म ब,बल बह द र आङद म ब_3_2,0.0002990207071839725,24.0,0.0,0.0,0,0,1,1,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.43058503,14,0.001722445,0.453577095,0.45185465,0,0,0,0,0,0,1,0,0,0,0
1,3,2,P017,श्याम बहादुर लिम्वु,पुरुष,39,unknown,2082,3_2,श य म बह द र ल म व,श य म बह द र ल म व_3_2,0.024833669731628916,5.0,0.014766962587190869,7.0,0,0,0,0,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.02059379,4.0,0.0,1,0,0,0,2.43058503,14,0.001722445,0.453577095,0.45185465,0,0,0,0,0,0,0,0,0,0,0
1,3,2,P025,याम वहादुर लिम्बु,पुरुष,49,unknown,2082,3_2,य म वह द र ल म ब,य म वह द र ल म ब_3_2,0.0,0.0,0.0,0.0,1,1,1,1,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.43058503,14,0.001722445,0.453577095,0.45185465,0,0,0,0,0,0,0,0,0,0,0
1,3,2,P032,दिवस राई,पुरुष,37,unknown,2082,3_2,द वस र ई,द वस र ई_3_2,0.0,0.0,0.0,0.0,1,1,1,1,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.43058503,14,0.001722445,0.453577095,0.45185465,0,0,0,0,0,0,0,0,0,0,0
1,3,2,P034,सादर सिं लिङदेन (लिम्बु),पुरुष,49,unknown,2082,3_2,स दर स ल ङद न ल म ब,स दर स ल ङद न ल म ब_3_2,0.01986992599237497,7.0,0.01880152187698161,6.0,0,0,0,0,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.010334668,7.0,0.0,1,0,0,0,2.43058503,14,0.001722445,0.453577095,0.45185465,0,0,0,0,0,0,0,0,0,0,0
1,3,2,P046,सुदिप राई,पुरुष,37,unknown,2082,3_2,स द प र ई,स द प र ई_3_2,0.0,0.0,0.0,0.0,1,1,1,1,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.43058503,14,0.001722445,0.453577095,0.45185465,0,0,0,0,0,0,1,0,1,0,0
1,3,2,P052,होम प्रसाद खतिवडा,पुरुष,68,unknown,2082,3_2,ह म प रस द खत वड,ह म प रस द खत वड_3_2,5.98041414367945e-05,43.0,0.0,0.0,0,0,1,1,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.43058503,14,0.001722445,0.453577095,0.45185465,0,0,0,0,0,0,0,0,0,0,0
