state_id,district_id,const_id,party_id,candidate_name,gender,age,vote_received,qualification
1,9,6,P000,लक्ष्मी थेवे,पुरुष,45,192,UNDER SLC
1,9,6,P034,दुखाराम माझी,पुरुष,56,109,UNDER SLC
1,9,6,P048,प्रशान्त ठाकुर,पुरुष,38,59,Masters
1,9,6,P017,मोहन बहादुर राई,पुरुष,51,42,UNDER SLC
1,9,6,P011,चिरञ्जिवि खतिवडा,पुरुष,33,39,High School
1,9,6,P000,शुशिल खड्का,पुरुष,27,36,Bachelor
1,9,6,P018,नारायण पासवान,पुरुष,56,28,Bachelor
1,10,1,P006,अशोक कुमार राई,पुरुष,65,17059,Masters
1,10,1,P004,गोमा तामाङ,महिला,48,16606,S.L.C.
1,10,1,P003,मुक्‍सामहाङ्ग सुब्‍बा,पुरुष,40,13087,10+2
1,10,1,P005,अशोक कुमार राई,पुरुष,61,7884,स्नाकोत्तर
1,10,1,P000,मनोज कुमार मेयाङ्गबो,पुरुष,58,7812,बि.ए.
1,10,1,P000,तर्क बहादुर मगर,पुरुष,53,3818,Bachelor
1,10,1,P000,कुमार कार्की,पुरुष,34,1864,10+2
1,10,1,P000,मातृका प्रसाद भट्टराई,पुरुष,52,1760,प्रमाणपत्र तह
1,10,1,P034,सरस्वती सुब्बा,महिला,66,715,S.L.C.
1,10,1,P000,संजय कुमार राई,पुरुष,41,367,10+2
1,10,1,P090,मंगल सिंह लिम्बु,पुरुष,45,349,
1,10,1,P007,फत्त बहादुर खडका,पुरुष,58,305,UNDER SLC
1,10,1,P000,देवी बहादुर राई,पुरुष,56,278,S.L.C.
1,10,1,P000,कुल बहादुर लिम्वु,पुरुष,64,275,MBA
1,10,1,P017,प्रेम बहादुर श्रेष्ठ,पुरुष,39,230,UNDER SLC
1,10,1,P000,करुणा राई,महिला,44,177,UNDER SLC
1,10,1,P000,कृष्ण कुमार राई,पुरुष,56,164,"MBA, MA, PHD"
1,10,1,P000,विजय कुमार राई,पुरुष,62,138,Bachelor
1,10,1,P000,जिवन कला राई,महिला,40,76,SLC
1,10,1,P000,वासु प्रसाद उपाध्याय (चालिसे),पुरुष,60,57,IA
1,10,2,P001,भीम प्रसाद आचार्य,पुरुष,63,32024,Masters
1,10,2,P002,सिताराम महतो,पुरुष,67,26068,Proficiency Certificate
1,10,2,P004,लाल बिक्रम थापा,पुरुष,36,19391,Bachelor
1,10,2,P005,दिने‍श कुमार बस्‍नेत,पुरुष,50,4269,Proficiency Certificate
1,10,2,P007,रामानन्द मेहता,पुरुष,40,1192,Bachelor
1,10,2,P009,दिपक राज चौधरी,पुरुष,51,1162,S.L.C.
1,10,2,P016,नुनु राम चौधरी,पुरुष,47,1023,Education N/A
1,10,2,P013,राजेश चौधरी,पुरुष,45,691,Education N/A
1,10,2,P034,नैन कुमार विश्वकर्मा,पुरुष,64,460,UNDER SLC
1,10,2,P017,पूर्ण बहादुर गुरुङ्ग,पुरुष,71,384,UNDER SLC
1,10,2,P000,प्रेम प्रसाद भट्टराई,पुरुष,69,375,S.L.C.
1,10,2,P010,मुमताज मियाँ,पुरुष,39,308,Education N/A
1,10,2,P000,फरेन्द्र शाह,पुरुष,36,251,Masters
1,10,2,P000,सुरेश कुमार मेहता,पुरुष,27,177,Proficiency Certificate
1,10,2,P093,रोहित कुमार दुलाल,पुरुष,52,141,Proficiency Certificate
1,10,2,P090,गजेन्द्र वहादुर ढकाल,पुरुष,53,108,10+2
1,10,2,P033,शोभावती कुमारी चौधरी,महिला,46,107,UNDER SLC
1,10,2,P061,रामेश्‍वर साहु हल्वाई,पुरुष,55,97,UNDER SLC
1,10,2,P000,विदुर प्रसाद पौडेल,पुरुष,56,73,S.L.C.
1,10,2,P000,शर्मानन्‍द खतिवडा,पुरुष,60,69,Education N/A
1,10,2,P092,विजय् कुमार बस्नेत,पुरुष,30,56,Education N/A
1,10,2,P000,मनोज कुमार मेहता,पुरुष,29,36,S.L.C.
1,10,2,P000,ललन कुमार मेहता,पुरुष,37,28,Bachelor
1,10,2,P000,बाबुराम सुबेदी,पुरुष,41,23,Proficiency Certificate
1,10,2,P000,श्रवण कुमार मेहता,पुरुष,28,15,S.L.C.
1,10,2,P000,चेतनाथ पौडेल,पुरुष,40,13,S.L.C.
1,10,2,P000,वविता नुन्दी,महिला,35,11,Bachelor
1,10,3,P001,भगवती चौधरी,महिला,51,40788,Masters
1,10,3,P002,विजय कुमार गच्‍छदार,पुरुष,68,35600,Masters
1,10,3,P004,कमल बाबु मैनाली,पुरुष,50,6453,Masters
1,10,3,P005,कुलदीप चौधरी,पुरुष,49,1903,10+2
1,10,3,P013,यज्ञ बहादुर कटुवाल,पुरुष,43,944,Bachelor
