district_id,party_id,votes_received,year
26,P027,104,2074
26,P117,104,2074
26,P110,92,2074
26,P017,87,2074
26,P106,78,2074
26,P101,73,2074
26,P033,68,2074
26,P015,53,2074
26,P099,52,2074
26,P034,48,2074
26,P018,48,2074
26,P103,42,2074
26,P039,41,2074
26,P115,38,2074
26,P036,28,2074
26,P108,27,2074
26,P112,24,2074
26,P116,22,2074
26,P109,18,2074
26,P091,16,2074
27,P001,42776,2074
27,P011,35490,2074
27,P002,26153,2074
27,P092,8959,2074
27,P003,7405,2074
27,P097,3266,2074
27,P005,3183,2074
27,P096,583,2074
27,P006,559,2074
27,P014,436,2074
27,P022,341,2074
27,P012,202,2074
27,P058,175,2074
27,P059,172,2074
27,P105,160,2074
27,P029,113,2074
27,P021,93,2074
27,P074,87,2074
27,P055,78,2074
27,P113,75,2074
27,P100,55,2074
27,P107,28,2074
27,P098,24,2074
27,P023,23,2074
27,P110,23,2074
27,P114,19,2074
27,P104,17,2074
27,P106,16,2074
27,P027,15,2074
27,P111,15,2074
27,P073,13,2074
27,P101,12,2074
27,P115,12,2074
27,P034,11,2074
27,P108,11,2074
27,P091,11,2074
27,P099,10,2074
27,P102,10,2074
27,P039,10,2074
27,P103,9,2074
27,P117,8,2074
27,P036,7,2074
27,P018,7,2074
27,P017,7,2074
27,P109,7,2074
27,P033,5,2074
27,P112,3,2074
27,P015,2,2074
27,P116,1,2074
28,P001,52293,2074
28,P002,48345,2074
28,P003,22203,2074
28,P092,20469,2074
28,P005,3197,2074
28,P014,1982,2074
28,P097,1963,2074
28,P006,1611,2074
28,P096,843,2074
28,P022,726,2074
28,P011,483,2074
28,P029,352,2074
28,P113,273,2074
28,P012,244,2074
28,P105,231,2074
28,P100,226,2074
28,P055,224,2074
28,P058,201,2074
28,P059,179,2074
28,P104,116,2074
28,P098,105,2074
28,P074,94,2074
28,P023,83,2074
28,P107,73,2074
28,P099,41,2074
28,P033,35,2074
28,P117,33,2074
28,P114,32,2074
28,P102,32,2074
28,P021,31,2074
28,P103,28,2074
28,P034,28,2074
28,P109,23,2074
28,P110,23,2074
28,P101,19,2074
28,P036,17,2074
28,P039,16,2074
28,P073,15,2074
28,P017,15,2074
28,P115,15,2074
28,P111,13,2074
28,P027,12,2074
28,P106,12,2074
28,P018,10,2074
28,P112,9,2074
28,P108,7,2074
28,P116,7,2074
28,P015,7,2074
28,P091,5,2074
