party_id,district_id,election_year,vote_share_lag,is_new_party,Absent rate within country 2078,Absent rate abroad 2078,Literacy Rate 2078,Primary Education % 2078,Lower Secondary % 2078,Upper Secondary % 2078,SLC or SEE % 2078,Intermediate & equivalent % 2078,Graduate & equivalent % 2078,Post graduate equivalent & above % 2078,IS_Major?,IS_ALTERNATIVE_FORCE?,GenZ_and_Youth_Favored?,Was_Part_Of_Ousted_Government?,Facebook_Presence (In Thousands),Top_leader_fb (in Thousands),facebook_log,leader_following_log,female_ratio,age_18-29_ratio,age_30-39_ratio,age_40-49_ratio,age_50-59_ratio,age_60-69_ratio,age_70+_ratio,total_voters,valid_turnout_lag
P019,50,2082,0.0,1,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P020,50,2082,0.0,1,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P021,50,2082,0.0,1,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P022,50,2082,0.1060121098448553,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P023,50,2082,0.0091741248904201,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P024,50,2082,0.1885792338586369,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P025,50,2082,0.0,1,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P026,50,2082,0.0101934721004668,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P027,50,2082,0.0,1,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P028,50,2082,0.0,1,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
